id,title,release_date,runtime,genres,overview,vote_average,vote_count,cast,director,keywords,soup,sentiment_score
875828,Peaky Blinders: The Immortal Man,2026-03-05,112,"Crime, Drama","After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",7.403,427,"Cillian Murphy, Barry Keoghan, Rebecca Ferguson",Tom Harper,"england, gangster, world war ii, period drama, 1940s, based on tv series","Crime Drama england gangster world war ii period drama 1940s based on tv series CillianMurphy,BarryKeoghan,RebeccaFerguson TomHarper",0.0
687163,Project Hail Mary,2026-03-15,157,"Science Fiction, Adventure","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",8.2,506,"Ryan Gosling, James Ortiz, Sandra Hüller",Phil Lord,"based on novel or book, space travel, space mission, alien, space, science teacher, save the planet","Science Fiction Adventure based on novel or book space travel space mission alien space science teacher save the planet RyanGosling,JamesOrtiz,SandraHüller PhilLord",0.16666666666666666
83533,Avatar: Fire and Ash,2025-12-17,198,"Science Fiction, Adventure, Fantasy","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.264,1934,"Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"witch, clone, space war, tribe, sequel, alien, transhumanism, family, space adventure, family dynamics, rival","Science Fiction Adventure Fantasy witch clone space war tribe sequel alien transhumanism family space adventure family dynamics rival SamWorthington,ZoeSaldaña,SigourneyWeaver JamesCameron",-0.38051948051948054
1290821,Shelter,2026-01-28,108,"Action, Crime, Thriller","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",6.7,387,"Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer",Ric Roman Waugh,"ghosts of the past, apologetic, solitary life","Action Crime Thriller ghosts of the past apologetic solitary life JasonStatham,BodhiRaeBreathnach,MichaelShaeffer RicRomanWaugh",-0.2625
1159559,Scream 7,2026-02-25,114,"Horror, Mystery, Crime","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",5.805,462,"Neve Campbell, Courteney Cox, Isabel May",Kevin Williamson,"mask, artificial intelligence (a.i.), sequel, murder, serial killer, slasher, whodunit, killing spree, blunt, self-referential, reboot, crime spree, disturbed, murder mystery, masked villain, murder spree, teen horror, apathetic","Horror Mystery Crime mask artificial intelligence (a.i.) sequel murder serial killer slasher whodunit killing spree blunt self-referential reboot crime spree disturbed murder mystery masked villain murder spree teen horror apathetic NeveCampbell,CourteneyCox,IsabelMay KevinWilliamson",0.004545454545454542
1523145,Your Heart Will Be Broken,2026-03-26,134,"Romance, Drama","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",6.8,6,"Veronika Zhuravleva, Daniel Vegas, Alya Mayer",Mikhail Vaynberg,,"Romance Drama  VeronikaZhuravleva,DanielVegas,AlyaMayer MikhailVaynberg",0.0526060606060606
1265609,War Machine,2026-02-12,110,"Action, Science Fiction, Thriller","On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",7.3,1157,"Alan Ritchson, Dennis Quaid, Stephan James",Patrick Hughes,"military training, military sci-fi, u.s. army ranger","Action Science Fiction Thriller military training military sci-fi u.s. army ranger AlanRitchson,DennisQuaid,StephanJames PatrickHughes",0.0
1171145,Crime 101,2026-02-11,141,"Crime, Thriller","When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",7.0,212,"Chris Hemsworth, Mark Ruffalo, Halle Berry",Bart Layton,"robbery, based on novel or book, jewelry, los angeles, california, police detective, diamond heist, insurance, lapd, motorcycle chase, jewel robbery, ford mustang, assertive, callous, antwerp diamonds","Crime Thriller robbery based on novel or book jewelry los angeles california police detective diamond heist insurance lapd motorcycle chase jewel robbery ford mustang assertive callous antwerp diamonds ChrisHemsworth,MarkRuffalo,HalleBerry BartLayton",0.3375
1198994,Send Help,2026-01-22,113,"Horror, Thriller, Comedy","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",7.0,518,"Rachel McAdams, Dylan O'Brien, Edyll Ismail",Sam Raimi,"bullying, role reversal, survival, struggle for survival, survival horror, deserted island, power struggle, colleagues, bullying in the workplace, plane crash, gender inequality, comedy thriller, comedy horror","Horror Thriller Comedy bullying role reversal survival struggle for survival survival horror deserted island power struggle colleagues bullying in the workplace plane crash gender inequality comedy thriller comedy horror RachelMcAdams,DylanO'Brien,EdyllIsmail SamRaimi",-0.0375
840464,Greenland 2: Migration,2026-01-07,98,"Adventure, Thriller, Science Fiction","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",6.4,688,"Gerard Butler, Morena Baccarin, Roman Griffin Davis",Ric Roman Waugh,"natural disaster, shelter, survival, disaster, shocking, frantic","Adventure Thriller Science Fiction natural disaster shelter survival disaster shocking frantic GerardButler,MorenaBaccarin,RomanGriffinDavis RicRomanWaugh",0.13636363636363635
